Area,Year,Value (?C)
Oceania,1961,0.116
Oceania,1962,0.14
Oceania,1963,-0.118
Oceania,1964,-0.03
Oceania,1965,0.067
Oceania,1966,-0.231
Oceania,1967,-0.104
Oceania,1968,-0.195
Oceania,1969,0.096
Oceania,1970,0.032
Oceania,1971,-0.016
Oceania,1972,0.072
Oceania,1973,0.795
Oceania,1974,-0.297
Oceania,1975,0.077
Oceania,1976,-0.484
Oceania,1977,0.156
Oceania,1978,0.095
Oceania,1979,0.351
Oceania,1980,0.792
Oceania,1981,0.444
Oceania,1982,0.135
Oceania,1983,0.559
Oceania,1984,-0.151
Oceania,1985,0.292
Oceania,1986,0.327
Oceania,1987,0.306
Oceania,1988,0.875
Oceania,1989,0.143
Oceania,1990,0.488
Oceania,1991,0.716
Oceania,1992,0.202
Oceania,1993,0.378
Oceania,1994,0.163
Oceania,1995,0.367
Oceania,1996,0.518
Oceania,1997,0.289
Oceania,1998,1.038
Oceania,1999,0.547
Oceania,2000,0.143
Oceania,2001,0.342
Oceania,2002,0.703
Oceania,2003,0.771
Oceania,2004,0.632
Oceania,2005,1.091
Oceania,2006,0.614
Oceania,2007,0.824
Oceania,2008,0.543
Oceania,2009,0.9
Oceania,2010,0.666
Oceania,2011,0.212
Oceania,2012,0.276
Oceania,2013,1.396
Oceania,2014,1.083
Oceania,2015,0.997
Oceania,2016,1.163
Oceania,2017,1.11
Oceania,2018,1.096
Oceania,2019,1.37
